,Question_Links,Views,Upvotes,Spaces,Questions,Answers
1,https://www.quora.com/Computer-Scientists-if-you-had-to-recommend-just-a-single-book-to-try-and-teach-someone-computer-science-what-would-it-be/answer/Kamal-Raj-17,70,2,www.quora.com,Computer-Scientists-if-you-had-to-recommend-just-a-single-book-to-try-and-teach-someone-computer-science-what-would-it-be,"Introduction to Computer Science and Programming Using Python by John Guttag will be the one.
I am from Mechanical engineering background and started self_learning programming. Before 4 years I had come across open MiT courseware. There the author is taking the introductory course of the same name.
The structure of book made me look at the world of computers differently. Instead of thinking programs as some abstract line of symbols, the book teaches you how to write functions that are similar to physical object.
Intro to OOP concept is done in a by real world scenario. A drunken guy walking.It is fun to see how the random number can generate patterns and finally provide insights about the environment that the simulation is conducted.
There are many other books on problem solving, text processing, visualization can help. This book wild give a solid intro to all these areas.
Programming is a tool like our pen or screw, bolts and nuts. (You can think of your own domain tools).We programmers create new things out these Components. These components have to work and solve the problem or provide some understanding. With that objective, learning programming will be a breeze."
3,https://www.quora.com/What-is-considered-an-expert-in-Python/answer/Kamal-Raj-17,11,–,www.quora.com,What-is-considered-an-expert-in-Python,"There are 2 kind of experts. Person is talented or pioneer in Python then he will be called as Pythoneer. Person using python language to achieve his implementations will be called as Pythonista. That is answer given by Google. Let me dive a bit deep on what it takes to become an expert
Programming languages help to solve the problem in the real world. If you have a one time problem then it is not worth writing a program to solve it. Logic is, your time is worth more spent solving some other problem. So programming languages “Help” to solve problem as a tool in which one can enter the instructions, and get the computer to solve it repetitively. Think about the many things, that we were doing manually… (Going to bank, drawing money with a Cheque or DD!!! It is a time when life was boring and least complicated)
In other words, Pythoneer tries to use novel libraries, techniques or algorithms to solve a problem. Pythonista uses good practices, clever know how of compiler workings and achieves more by writing less. Other languages have their own mastery terminologies.
Allow me to go a bit overboard and share the track for becoming an expert.
These are the skills that Pythonistas, and Pythoneer excel at. Before writing code, knowing what is already written can save lot of effort, and time. So research, read and experiment a lot. Happy Pythoning…"
6,https://www.quora.com/What-is-a-free-AI-algorithm-which-can-be-used-for-simple-prediction-of-number-of-future-issues-in-a-given-month-based-on-the-past-data/answer/Kamal-Raj-17,5,–,www.quora.com,What-is-a-free-AI-algorithm-which-can-be-used-for-simple-prediction-of-number-of-future-issues-in-a-given-month-based-on-the-past-data,"When a Number, that is quantity of issues needs to be predicted then Regression, RNN or LSTM models in Neural Networks can be used. In order for these models to work with reasonable accuracy, dataset for long period of time needs to be fed. These models try to learn the signals between the intervals, and in case of RNN and LSTMs (Long Short Term Memory) they remember the past.
AI algorithms are free in the sense of open source. The models, the program, connecting APIs are available in multiple languages to download and use. Critical point is having the knowledge and experience to use these models.
I had been exploring ways to learn ML for couple of months. There are many free platform which you can use for learning. Search in Google for “ML Model training” or “Learning ML” or something in that line. There are data version control software that allow you to control your data, experimentation and finally hypothesize your findings.
Before going to ML, think about traditional ways of predicting the quantity of issues. ML and AI are useful when the parameters are very large, in hundreds or atleast above 50. Even in ML, there are more choices to make when it comes to model selection. So underlying domain knowledge does play a crucial role…."
7,https://www.quora.com/Why-is-learning-algorithms-necessary-for-a-data-scientist/answer/Kamal-Raj-17,11,–,www.quora.com,Why-is-learning-algorithms-necessary-for-a-data-scientist,"Learning about algorithm and using algorithms to solve problems in Computer Science is miles apart.
Data Science is application of statistics and mathematics with help of algorithms. Data is the fuel for the vehicle who engine is mathematics, chassis is statistics and finally the wiring is Algorithms. You need all of these to work properly to drive the vehicle, and safely reach your goal. Any number of analogies can be provided, but algorithms trump.
I am a decision maker and every day I have to hundreds of decision. I strive to decide every decision logically. Logically means, thinking through the choices and calculation what will be the effect of the decision I am taking. Whether the outcome will be favorable to me or not. A game of sort is constantly played.
Data scientists automates this game for millions of decision makers around the world. Brings their decisions and their outcomes in one place, analysis the data and tries to predict, who will make what kind of decision.
Take time to learn about the algorithms, and even write them by yourself by learning the intricate basics of the libraries and books. The community has been very supportive and shared lot of researches, books for aspiring data scientists to learn."
9,https://www.quora.com/What-are-some-good-websites-to-practice-Python-coding-and-help-others/answer/Kamal-Raj-17,152,–,www.quora.com,What-are-some-good-websites-to-practice-Python-coding-and-help-others,"I had tried learning to solve problems through code for past 10 to 12 years, started and stopped many times. I stared by learning C, and then Java but stopped. Later started with Python and again stopped.
Wondering Why?
When you write a code, some one has to say whether it is correct. No, the compiler checks the syntax not the logic. I naively tried theoretically learning and writing code a little that compile but not logical. Slowly I gave up. (Ten years back I did not quora existed. And I can ask this same question)
Automated Testing:
Another thing I did not know was, there are sites out there, that can test the code I have written. Recently, I knew and from then on I try to enlighten as much people as possible. Testing and getting feedback from practicing to write code is more important than reading, watching courses
Okay now coming to what you asked for..
Coding is like speaking a language. A whole lot more logical and precise. When you learn such a language, one needs to practice a lot. Practicing to code is now possible in lot of online sites, like
The list provided is non-exhaustive. Free and perfect practice of Coding is already mainstream. One important point is, ability to test the code you write. The above sites, which are created by “Problem Solvers” for aspiring Problem Solvers. Your code will be tested after you provide a solution. That makes a huge difference, as I have found myself in last 3 months.
Problem Subset…
When you think your code will solve a problem, it really solves a subset of the problem space. Simple example could a problem to check the maximum and minimum number in a list. Simple problem. Only that, someone might enter empty array, or enter a single number or even number without any spaces, or comma. Your code has to take care of all these subproblems.
Tester Mindset…
So testing is important. The problem solver mindset and tester mindset is two extremes. Knowing what all problems can occur in itself a problem. Tester solves it, codes it and then asks the developer to solve the problem to beat the tester’s code… (Loopy!!! True)
Coding is learnt for solving problems. By solving problems you will learn programming language faster. So start with problem solving. Have a great time learning."
11,https://www.quora.com/I-m-looking-for-a-specific-course-in-AI-and-Python-where-I-can-learn-how-to-build-a-handwritten-text-recognition-system-from-scratch-Are-there-any-online-courses-I-can-take/answer/Kamal-Raj-17,21,–,www.quora.com,I-m-looking-for-a-specific-course-in-AI-and-Python-where-I-can-learn-how-to-build-a-handwritten-text-recognition-system-from-scratch-Are-there-any-online-courses-I-can-take,"Handwritten text recognition is done best with Tensorflow. There are so many places where you can get the process of training such a model. The keyword is MNIST dataset. Search for it, and you will find many blog posts and jupyter notebooks that show you how to make the hand written text recognition.
You might want to take a look at tessaract library for OCR recognition.
Courses wise, the intooduction will take a lot of time. Better prefer the books, blogs and Jupyter notebooks. One book I would suggest you to look is Deep Learning by Francois Cholet. The developer of Keras library. The book also has got companion github repo which you can use to learn.
Happy Learning."
12,https://www.quora.com/Can-someone-give-me-the-link-of-article-in-which-DRL-deep-reinforcement-learning-is-applied-on-any-dataset/answer/Kamal-Raj-17,9,–,www.quora.com,Can-someone-give-me-the-link-of-article-in-which-DRL-deep-reinforcement-learning-is-applied-on-any-dataset,"There are lot of good resources in kaggle site regarding the application of reinforced learning and deep learning model used for reinforced learning.
You can find the links directly on google itself.
In case of reinforced learning the data is created by the help of agent trying to maximize its winning score and minimising opponents score. So one can apply RL to games and not just datasets."
14,https://www.quora.com/What-if-I-fail-in-the-Turing-coding-test-Would-I-get-another-chance/answer/Kamal-Raj-17,31,–,www.quora.com,What-if-I-fail-in-the-Turing-coding-test-Would-I-get-another-chance,"Yes, you will get another chance in 3 months.
When I attempted the coding test, I failed one of the codes. However they moved me to the next round based on the way I had attempted the problem. Their algorithm looks at how you approach the problems given. Their test cases are very exhaustive too.
Think what is required for “Passing the Coding Test”. The answer is Practice, Mastery of basic Algorithms and speed. My logic goes like this
I would suggest that, you work on many of the problems in the platform listed above. Familiarize yourself with easy to medium hard problems in leetcode, hackerrank etc. Read and execute codes from 4 to 5 books that apply algorithms to problems, using Python or your favorite language. All these or on the internet…
Then attempt the coding test in Turing. I am sure you will ace it. Even if you don’t ace it, you will radically skill up. So it is a pure Win-Win.
Spoiler Alert!!!
Keep your projects porfolio ready. After passing the Coding test, Turing will ask you to upload your project github link, or the link of the product that you have built. So their algorithm to select the candidate is foolproof.
All the very best…"
16,https://www.quora.com/Im-29-with-no-tech-background-Can-I-learn-Python-and-get-a-job/answer/Kamal-Raj-17,58,–,www.quora.com,Im-29-with-no-tech-background-Can-I-learn-Python-and-get-a-job,"First lets get you up to speed with python. Here is what you need to do. After that there is one or two ideas about getting job.
You have to type atleast 250 programs. Better learn a good version control software like Git or SVN so that you can keep track of these program in your computer or in the internet. That is also a easy way to reuse the code in future. None of these codes that you are going to write will be waste.
Think of it as investment that will compound faster than exponential growth.
So what can these 250 programs will be about?
Full projects here have the least count, because to implement a project, you will have to use all the other areas of programming that has been listed above. So completing a project is equal writing one or more program in other categories that has been highlighted above.
Take a look at the below visualisation.
This is visualisation of a game that we have played when we were young. We always knew one of our friends who can outsmart us, or even the entire group. Most of the time the secret is, he has read a “BooK”. What if you don’t have a book, and you want to find the best strategy to win the above game? Brute force method will be to play the game with yourself hundreds of times and find the best strategy. Boring… Repeatetive and something that computer processors are really good at.
When you program for a specific purpose, that will impact how you live, play and work in this world that will provide you constant motivation. Have a great time learning.
About getting a job:
You need to have projects that were done by you. No other way to get hold of a job. You need to have a portfolio of either projects you did in your current org or outside.
Other ways like showing the side projects you did, or having some experience with data will not take you far into the this field.
As you are learning, think about getting one or more projects done. Even for free. But get it done. You can talk fluently about the projects
All the best."
17,https://www.quora.com/When-Im-learning-coding-I-understand-the-topic-but-when-working-on-a-project-I-dont-know-what-to-do-How-do-I-learn-what-I-need-to-do/answer/Kamal-Raj-17,46,–,www.quora.com,When-Im-learning-coding-I-understand-the-topic-but-when-working-on-a-project-I-dont-know-what-to-do-How-do-I-learn-what-I-need-to-do,"TL;DR … Can go to “Solution”
Reading is not equal to Learning
Learning is not equal to Understanding
Understanding is not equal to Skill
Skill is not equal to Mastery
However Mastery equals to GTD (Getting things done). Your answer lies in this sentence…. Mastery
Project takes in inputs in form of customers, resources, and hard work and returns a service, customer satisfaction, revenue and if the person doing the project was smart, then profit.
So programming projects are rather simple, because the project has a SMART Goal. (check google for SMART) as mentioned above. It has a function. So one first writes in plain english, how the function can be achieved by simple programmatic steps. “Programmatic Steps” is how computer works.
The programmer (you) takes the plain english sentences and think how to make it programmatic steps by referring the syntax, and vocabulary of programming language. (I think, you skipped this step). This steps takes a lot of thinking, trial and error.
Have you ever written a “message” to your crush? How many drafts it takes before you sent the message. If you don’t or didn’t have a crush, then recollect the turmoil any of your friends went through when they draft the message. Programming is not much different… When you BEGIN.
The more messages you to the computer, and get errors thrown out, we learn. Unlike our crushes(useless for learning) computers don’t get angry. They throw errors if you make mistake, and again take input from you.
Every step in the project above will have the same loop of trying, learning and re-trying. In the Beginning.
Solution:
After learning a programming language, you need to master each part of the programming language.
After doing the steps 1 and 3 some 15 to 20 times, you will get handle of the programming language. This is how genius programmers create themselves. Now you know the recipe. Have a great time learning, creating and sharing…."
